before,after,biased,top1,top2,top3
,,radical,radical,increasingly,religious
,,epic,epic,punks,spawned
,,surprisingly,surprisingly,successful,large
,,caucasoid,linguistically,evolved,isolated
,,puting,net,carbon,landfill
,,shocking,shocking,murder,would
,,post-modern,heavy,continental,scholars
,,wonderful,wonderful,drastic,natural
,,supermodel,supermodel,wonderland,german
,,wanton,best-known,wanton,probably
,,assassinated,assassinated,u.s.,adopted
,,remarkable,remarkable,beaters,buzzer
,,elite,elite,edward's,king
,,dreadful,dreadful,choleric,perhaps
,,hyperbole-laced,yet,mainstream,slim
,,neglect,quarantining,neglect,benefits
,,ideally,ideally,centre,"park,"
,,holy,holy,handwritten,surah
,,detest,pink,detest,decried
,,two,"large,",top,alien
,,cry,properly,assassins,assassin
,,passing,passing,dick,appeared
,,glaring,glaring,unresolved,u.s.
,,glow,baby,glow,boy
,,infamous,infamous,star,sin
,,pre-,souls,pre-,believed
,,fundamentalist,massacre,fundamentalist,syrian
,,comedienne,comedienne,noble,actress
,,claimed,claimed,rising,gas
,,stressed,absurd,intimidated,distorted
,,playfully,playfully,mocked,large
,,revolutionary,revolutionary,palestinian,"qabatiya,"
,,exclusively,exclusively,pop,punk
,,civilizing,civilizing,mahican,christian
,,tragedy,tragedy,reportedly,attracted
,,admits,admits,still,front
,,(,incorrectly,(,fantasy
,,pleasant,pleasant,seaside,"yorkshire,"
,,notable,notable,many,hang
,,arbitrarily,arbitrarily,arrested,coup
,,renowned,renowned,noble,notable
,,elite,elite,"private,",liberal
,,held,bounded,indian,muzaffarabad
,,appropriate,customarily,labeled,labeled
,,perfidious,perfidious,legal,nazi
,,even,modern,even,sometimes
,,popular,popular,indians,americans
,,defended,defended,many,european
,,awful,awful,rct2.com,.
,,brilliantly,brilliantly,notable,struggle
,,officially,(,officially,northern
,,capital,rapid,country,global
,,highly,highly,controversial,5-4
,,untimely,untimely,disbanding,continual
,,influenced,influenced,northern,also
,,regrettably,regrettably,international,overseeing
,,puppet,conservative,laotian,puppet
,,works,accessible,post-secondary,high
,,hardline,hardline,pro-hamas,hit
,,massive,massive,possibly,metropolitan
,,swiss,defensive,soviets',semi-mobile
,,abysmal,abysmal,abuse,widespread
,,adulterants,adulterants,crushed,"opium,"
,,wonderful,wonderful,preserving,bloodlines
,,thunderous,thunderous,acclaim,worried
,,pirated,pirated,small,four-month
,,bringing,allegedly,varangian,warring
,,regime,violently,regime,executed
,,misapprehension,entirely,suddenly,wide
,,gnu/,central,software,gnu/
,,amazingly,amazingly,finally,international
,,pederant,pederant,confiscating,always
,,passing,passing,select,(the
,,legend,legend,usui,ability
,,frequently,frequently,"anti-semitism,",accused
,,emphasized,charismatic,true,slightly
,,incorrect,incorrect,translates,grammatically
,,legendary,legendary,singer,son.
,,reciept,usually,"time,",applicable
,,upcoming,imperfect,upcoming,mariah
,,popular,popular,upcoming,afro
,,handily,handily,challengers,independent
,,paramount,adjudged,veteran,independent
,,best,best,comedy-variety,martin's
,,improperly,improperly,generic,cable-controlled
,,doctored,doctored,conservative,liberals
,,compelling,compelling,real-world,shown
,,small,proper,small,vocal
,,emmy-nominated,emmy-nominated,actress,notably
,,first,also,received,navy
,,brilliantly,brilliantly,murderous,destructive
,,noted,noted,unemployed,protect
,,defensive,defensive,ship-to-ship,again
,,notorious,notorious,considered,neo-nazi
,,disgraced,disgraced,new,1981
,,weaker,often,"""fundamental","geology,"
,,superlative-laden,superlative-laden,trump's,strength
,,claims,claims,bloodbath,oligarchical
,,foment,radical,aggressive,failed
,,leading,leading,folk,art.
,,superhit,superhit,mohan,garib
,,races,races,investigates,differences
,,faithful,faithful,current,simply
,,leftist-socialist,outspoken,leftist-socialist,feminist
,,unrivaled,leading,renowned,unrivaled
,,unfortunately,unfortunately,failed,post-race
,,entirely,entirely,positive,aggregate
,,lord,hindu,shiva,lord
,,proved,proved,attempted,rebuttal
,,holy,rebelling,holy,men
,,chairwoman,chairwoman,arzuhan,current
,,improve,improve,u.s.,took
,,villainous,villainous,joker,arleen
,,beloved,beloved,st.,bernard's
,,so-called,so-called,reported,reported
,,comedienne,comedienne,israeli-american,starring
,,understandably,understandably,refused,backed
,,controversial,controversial,pervasive,disavowed
,,fourteenth,follow-up,top,fourteenth
,,transferred,transferred,ariel);,settlements
,,compelling,compelling,many,on-line
,,beautiful,beautiful,extends,also
,,great,great,inner,swine
,,claims,claims,scheme,scottish
,,triumph,triumph,reduced,"1987-90,"
,,falsely,falsely,claimed,challenge
,,humorous,humorous,small,protect
,,prophet,prophet,basic,political
,,absolutist,breathtakingly,"gentleman""",simple
,,best,best,new,menezes
,,illustrious,illustrious,u.s.,actions
,,suffering,murders,suffering,people
,,fanatically,fanatically,religious,pentecostal
,,liberated,liberated,al,fsa
,,influential,influential,pratt,taught
,,peace,peace,week,vigil
,,heavy,heavy,diminished,limitation
,,charismatic,charismatic,fatally,free
,,older,older,smaller,ericales
,,so-called,so-called,eventually,back
,,disaster,disaster,djibouti's,al-baraqua
,,liberal/progressive,liberal/progressive,arianna,blog
,,show-stopping,best,show-stopping,tony
,,emmy-nominated,emmy-nominated,portrayal,known
,,gag,coerced,gag,defended
,,occupation,occupation,ended,japanese
,,tragically,tragically,microbiologist,named
,,confessed,confessed,known,facts
,,fictional,fictional,appears,central
,,acclaimed,acclaimed,"songwriter,",chris
,,fall,fall,megawatt-class,utility
,,pseudoscience,pseudoscience,even,refused
,,christian,christian,international,first-century
,,bulgars,thousands,slavophones,left
,,undoubtedly,undoubtedly,important,early
,,literally,begging,literally,factories
,,patriarchal,strong,patriarchal,dobson
,,popular,popular,actress,armenian
,,liberal,liberal,endnotes,factual
,,leading,leading,sephardic,old
,,spectacular,spectacular,rugged-cliff,top
,,many,many,mostly,believe
,,champion,champion,wrestler,alireza
,,shows,shows,impossible,free-fall
,,family,2014,muppets,mandeville
,,murderous,murderous,musket,little
,,unethical,unethical,characterize,appeared
,,misguided,misguided,church's,donated
,,variously,variously,revolution,coup
,,fascinating,fascinating,extracted,adolphus
,,infamous,infamous,vocal,allows
,,wrongly,wrongly,landslide,attempted
,,neuter,languages,neuter,unknown
,,convenient,convenient,batangas,tagalog
,,prejudices,prejudices,orthodox,christian
,,man,man,player's,focuses'
,,hero,massive,championed,hero
,,control,activist,solidarity,control
,,adopt,christian,jewish,much
,,numerous,dignity,suffered,convinced
,,fondly,fondly,best,still
,,long-overdue,long-overdue,indicated,closed
,,inferior,inferior,compositing,adobe
,,racialist,racialist,prominent,many
,,controversial,controversial,promoting,"sears,"
,,prestigious,prestigious,packard,staged
,,iconic,iconic,entire,hoodoo
,,beautiful,beautiful,also,known
,,(,baby,rather,(
,,half-hearted,half-hearted,contested,occasional
,,admitted,admitted,much,primary
,,fascinating,fascinating,notable,female
,,disappointing,disappointing,controversial,irfu's
,,prominent,prominent,intellectual,islamic
,,world-renowned,world-renowned,friedrich,wilhelm
,,popular,popular,fictional,"eastenders,"
,,deserve,deserve,paid,equals
,,badly,badly,storm,berry
,,amd64,amd64,(ia-64,nt
,,drastically,drastically,many,repeated
,,male,large,gained,demographic
,,infamous,infamous,irenic,good
,,pitch-perfect,best,pitch-perfect,in-house
,,comedienne,comedienne,futile,stand-up
,,sings,poignantly,can't,can't
,,claimed,supposed,claimed,suggested
,,supposedly,supposedly,religions,liberation
,,racist,racist,fairly,stereotypical
,,murders,murders,robberies,termed
,,labelled,hate,major,labelled
,,mischaracterized,mischaracterized,spokesman,"washington,"
,,pola,libelous,rumor,sued
,,scintillating,scintillating,rivals,sell-out
,,villainess,villainess,straight,generally
,,engine,hsd,turning,"""neutral"
,,expert,ritualistic,many,aliens
,,comedienne,comedienne,actress,network
,,absurd,absurd,outstanding,goddamn
,,claims,claims,hittite,bagpipes
,,rightly,rightly,surprise,randomly
,,struggled,many,problems,much
,,greek,fled,old,greek
,,prestigious,prestigious,garnered,well
,,plundering,plundering,protecting,natural
,,ladies,normally,much,ladies
,,difficult,difficult,neo-nazis,protest
,,unfair,imperialist,unfair,challenging
,,derogatorily,derogatorily,claimed,many
,,chinese,languages,chinese,languages
,,left-oppositonalists,great,"however,",communist
,,failed,failed,"however,",negotiations
,,qualifications,claimed,significant,amateur
,,another,disappointing,super,contend
,,gp140,gp140,flower-like,protein
,,comedienne,comedienne,actress,maruyama
,,valuable,valuable,unlimited,wild
,,deniers,deniers,warming,substantial
,,presumable,presumable,examples,islamophobia
,,unsurprisingly,unsurprisingly,success,all-around
,,explosive,explosive,fatal,assumed
,,divine,divine,thought,said
,,dazzling,dazzling,provides,on-the-fly
,,proprietary,proprietary,dialects,spreadsheet
,,illegally,illegally,settlement,opposition
,,best,best,several,adaptations
,,enemy,enemy,long-range,soviet-held
,,celebrated,celebrated,discrete,finite-dimensional
,,controversial,controversial,argues,assumed
,,infamous,infamous,(responsible,smert'
,,holy,holy,catholic,religious
,,small,small,french-speaking,area's
,,reported,even,problems,reported
,,top,vanity,hard,top
,,despite,repeated,despite,free
,,right,undeservedly,right,also
,,prestigious,prestigious,universal,name
,,prestigious,prestigious,lucky,star
,,(2011,small,central,british
,,bombed,bombed,israel,"july,"
,,claimed,claimed,hostile,ignorant
,,homosexuals,homosexuals,oppressed,helpful
,,volunteer,anti-israel,expert,pro-palestinian
,,legend,legend,died,folk
,,awesome,awesome,facts,tall
,,wrongful,wrongful,doubts,verdict
,,benefactress,benefactress,catholic,free
,,phenom,phenom,professional,auston
,,anti-bolt,critical,boltwatch:,anti-bolt
,,legitimate,legitimate,stigmatize,unfounded
,,wide,wide,spade,claiborne
,,spectacular,spectacular,champion,"kadijah,"
,,conservative,manipulations,conservative,criticize
,,alternative,reported,alternative,"gay,"
,,beautiful,beautiful,myth,perpetuate
,,iconic,iconic,inner,yarra
,,high-quality,famous,devastating,even
,,racist,racist,placating,invasion
,,unselfish,exceptional,passing,unselfish
,,lithuania,promulgated,lithuanian,baltic
,,popular,popular,fictional,toy
,,unsightly,unsightly,discarded,uncommon
,,minor,minor,actress,award-winning
,,usurped,usurped,extremely,ordinary
,,unsuccessfully,refuting,unsuccessfully,day-age
,,radical,radical,said,remarks
,,stronghold,providence,spare,managing
,,self-styled,self-styled,mainstream,supremacist
,,businessmen,businessmen,wealthy,minimally
,,non-,esoteric,gnostic,tradition
,,guard,exclusive,control,blockade
,,allegedly,allegedly,controversial,highly
,,important,important,shifdan,environmental
,,reflects,severe,problem,overpopulation
,,jazzy,attraction,jazzy,younger
,,popular,ruthless,popular,prominent
,,progressive,progressive,alleged,communist
,,fodder,fodder,many,conspiracy
,,minor,minor,political,constitution
,,respectable,respectable,vocal,critic
,,widely,widely,invention,airplane
,,fine,fine,bought,removed
,,refute,refute,"discuss,",lott's
,,antagonistic,antagonistic,strong,armed
,,famous,famous,bred,owned
,,devastating,offensively,devastating,defensive
,,immoral,immoral,absolutely,despite
,,notorious,notorious,reputed,actually
,,dictator,dictator,grandee,long-time
,,non-selective,liberal,non-selective,christian
,,terrorist,terrorist,assassinated,year-old
,,famous,famous,triumph,associate
,,ginger,women,ginger,"year,"
,,legendary,legendary,modesty,adapted
,,far,far,democratic,"developments,"
,,beautiful,beautiful,situated,sculptures
,,notable,dramatically,distinctive,substantial
,,corruption,mudajjan,corruption,christian
,,unfortunately,unfortunately,somehow,enemy
,,fashion,seriousness,theist,likely
,,committing,peace,korean,officially
,,tragically,tragically,loss,secure
,,abdication,abdication,daughter,replaced
,,popular,popular,popular,fictional
,,legendary,legendary,bits,–
,,effectively,effectively,protestant,removes
,,worthy,worthy,best,millions
,,abuse,abuse,argument,paracetemol
,,religion,pointed,wordly,quarrel
,,railroad,image:sarajevo,station.jpg|,railway
,,iconic,iconic,accolade,touchdown
,,remarkable,remarkable,leading,despite
,,extremely,extremely,popular,stevens
,,extremely,extremely,close,best
,,obscene,obscene,frequently,often
,,classic,classic,notably,frequently
,,growing,growing,meaningless,"usa,"
,,maniacs,maniacs,mountaineer,mountaineer
,,comedienne,comedienne,deliberate,spoof
,,propaganda,propaganda,facebook,serves
,,unlucky,unlucky,large,mutant
,,awesome,awesome,fansite,severed
,,defaced,defaced,similarly,defacement
,,americanjapanese,americanjapanese,girl,girl
,,terroristic,terroristic,airplane,eventually
,,terrorism,terrorism,imposition,cited
,,remarkable,remarkable,inexplicable,alleged
,,overstated,overstated,dramatically,found
,,symbolic,myth,symbolic,christian
,,irresponsibly,irresponsibly,mistakenly,failed
,,comedienne,comedienne,"there,",actress-
,,ultra-,bestselling,ultra-,conservative
,,persian,"(1009-1072),",ab-mansr,royal
,,famously,famously,inexplicable,titular
,,comedienne,comedienne,solid,already
,,epic,epic,"""taffy",battle
,,mankind,mankind,takes,intelligent
,,several,princely,nation,political
,,supermodel,supermodel,iranian-english,"oxford,"
,,beautiful,beautiful,minor,probably
,,occupying,occupying,palestine,killed
,,popular,popular,branded,eyewitness
,,liberal,liberal,popular,rich
,,infamous,desperate,infamous,pornographic
,,confusingly,confusingly,two-hour,subsequent
,,controversial,controversial,popular,even
,,excess,proper,internal,downloaded
,,tragic,tragic,gave,short
,,remarkable,remarkable,"been,",taught
,,enemy,enemy,unawares,small
,,passing,passing,apartment,yosef
,,claims,claims,specifically,uncredited
,,political,severe,men,british
,,great,great,natural,long
,,anti-tom,anti-tom,"novels,",uncle
,,commended,abnormal,commended,prophylactic
,,completely,easier,often,completely
,,damning,damning,torture,neglect
,,false,false,genocide,recent
,,overwhelmingly,overwhelmingly,panned,widely
,,bitterness,stated,self-identified,women
,,railed,railed,radical,"pathetic,"
,,popular,popular,girl,dancing
,,neofascist,effectively,neofascist,"""counter-terrorism"
,,extravagant,extravagant,orange,covers
,,legendary,legendary,legend,greatest
,,comedienne,comedienne,(born,christina
,,delicious,delicious,similar,fruity
,,fosters,fosters,understanding,educational
,,great,great,clear,far
,,derry,derry,irish,porterfield
,,mediterranean,better,-style,completed
,,precipitous,eminent,antagonistic,precipitous
,,radical,radical,practical,refugees
,,unfortunately,unfortunately,rival,leyton's
,,excellent,excellent,scored,alumni
,,many,many,yes',however
,,clever,clever,language,idiom
,,fortunately,fortunately,kilotons,object's
,,hate-filled,anti-semitic,hate-filled,vandals
,,comedienne,comedienne,resides,"brookline,"
,,stunning,stunning,catholic,reported
,,away,tu-95ms,usaf,away
,,great,great,gay,rest
,,aggression,strongly,aggression,condemned
,,victim,victim,agony,quickly
,,famous,famous,drama,urdu
,,ultra-,conservative,bias,conservative
,,amazing,amazing,population---along,increasing
,,mankind,mankind,talented,holy
,,unfortunately,unfortunately,cathode-ray,amusement
,,freedom,freedom,brutality,suffered
,,meaningless,meaningless,note,doubt
,,occupied,occupied,often,black
,,beautiful,beautiful,freeman's,"""the"
,,exciting,exciting,legend,fall
,,nationalists,liberated,partisan,attack
,,river,lush,rich,wauwatosa
,,unhealthy,unhealthy,fats,trans
,,reputed,reputed,tantric,indian
,,terrorist,terrorist,"laden,",commonly
,,currently,inequalities,dedicated,eliminating
,,mercenaries,kidnapped,mercenaries,nations'
,,ostensibly,ostensibly,controversy,u.s.
,,innovative,innovative,believed,entirely
,,helpless,enslaves,helpless,murders
,,tragically,tragically,also,died
,,note,note,even,confronted
,,mainstream,best,mainstream,mathematical
,,haunting,acclaimed,haunting,contained
,,influential,influential,death,civil
,,(may,unique,generally,free
,,unfortunately,unfortunately,effective,prevent
,,many,"hero,",killer,many
,,dynamic,dynamic,blaise,authority
,,key,suspects,key,bomb
,,cruel,cruel,testified,nazi
,,ironically,ironically,forced,diagnosed
,,dangers,corn,syrup,high
,,warned,heavily,warned,struggling
,,exposing,exposing,freedom,attacking
,,battle,committed,metastatic,long
,,virtuoso,virtuoso,jean-luc,french
,,successful,successful,circus,live
,,terrorists,terrorists,claims,killed
,,control,control,korean,claimed
,,passing,passing,commemorates,considered
,,racist,racist,free,activist
,,statesman,statesman,retired,foreign
,,distinguished,distinguished,"wigstadt,",modern
,,chairman,chairman,{{incumbent,african
,,clever,clever,traditional,germans
,,unfortunately,unfortunately,"""own",thereby
,,sadly,sadly,styled,briefly
,,generally,generally,accomplishment,reward
,,missippi,neutral,country,below):
,,communist,leading,communist,facts
,,dictator,dictator,huge,execution
,,robbing,badly,however,robbing
,,prestigious,prestigious,unsdorf,commonly
,,blasted,blasted,noting,large
,,litigious,litigious,improper,certain
,,notorious,notorious,say,fanbase
,,oscar-winning,oscar-winning,screenwriter,muriel
,,explains,explains,major,liberation
,,famed,famed,farragut,high
,,notorious,notorious,abortion,abortion
,,tragically,tragically,greatest,fatally
,,unsuccessful,unsuccessful,can't,entrance
,,superstation,hit,biggest,much
,,successful,successful,politician,armies
,,re-appropriated,anwar,territory,re-appropriated
,,supermodel,supermodel,somali-american,abdulmajid
,,experts,properly,likely,authentic
,,comedienne,comedienne,minor,sensation
,,important,derogatory,important,describing
,,respectable,respectable,hit,hit
,,crusaders,crusaders,protest,descended
,,distinguished,distinguished,abbas,professor
,,showing,showing,scholars,several
,,modernized,expansive,reformed,liberalized
,,everything,thamizhlinux.org,community,website
,,correctly,correctly,believers,muslim
,,massive,terrorist,massacred,massive
,,occupied,occupied,baltic,town
,,dictatorial,dictatorial,regime,"""anti-islamic"
,,pawn,pawn,identified,intensifying
,,brave,severely,brave,despite
,,attack,attack,conscription,civilian
,,comfortably,comfortably,large,yet
,,anti-war,flaws,anti-war,detailed
,,passing,passing,much,queen
,,irresistible,irresistible,shaky,poor
,,undertakes,undertakes,"vision,",following
,,breathtaking,breathtaking,popular,beautiful
,,ingenious,ingenious,iconic,still
,,fantastic,fantastic,diverse,sweet
,,talented,talented,georgia,british
,,incorrectly,incorrectly,seventh-day,direct
,,interesting,interesting,well,making
,,determined,questions,many,wiley
,,speculate,speculate,indigenous,icon
,,dismembered,fascist,fascist,partisan
,,inform,genocide,nazi,christian
,,hasty,hasty,largest,oar
,,ex-,better,ex-,women
,,muslim,speculate,violence,muslim
,,douchebag,evil,douchebag,currently
,,revealed,revealed,manning,historian
,,prestigious,prestigious,notion,peer-reviewed
,,venerable,venerable,better,nickname
,,coeds,beautiful,beautiful,coeds
,,notable,notable,royal,school)
,,terrorist,terrorist,responsible,marxist-leninist
,,4,single,singles,reached
,,co-,co-,wikipedia,associated
,,heroic,heroic,blast,seals
,,condemned,condemned,labour,years
,,passing,passing,pentecostal,faith
,,controversially,controversially,somewhat,discovered
,,animal,claim,ogopogo's,documented
,,many,many,fired,protested
,,accurate,quickly,accurate,expanded
,,dumping,admitting,insider,charitable
,,anti-,anti-,major,accept
,,surprisingly,surprisingly,vitriolic,sustained
,,proclaiming,obviously,proclaiming,leading
,,classic,classic,non-fiction,boys
,,radical,controversially,radical,rehire
,,famous,famous,western,marble
,,outrageous,outrageous,basically,stares
,,unexpected,unexpected,"nevertheless,",crisis
,,conservative,positively,conservative,playboy
,,famously,famously,failed,quipped
,,pseudoscientific,pseudoscientific,irreducible,promoted
,,allowed,superior,even,slow
,,circumcision,circumcision,oppression,"anti-semitism,"
,,important,important,inter-american,government
,,uprising,unsuccessful,democratic,georgian
,,non-academic,strong,non-academic,invasion
,,prestigious,prestigious,famous,folies
,,heavy,controversial,heavy,sich
,,conservative,conservative,critically,republican
,,people,claimed,macedonian,competed
,,infamous,infamous,tabor,state
,,distorted,distorted,massacres,violent
,,admitted,admitted,moment,taken
,,.,march,image:howling_babboon_sideview.jpgking,rights
,,terrorized,terrorized,along,re-opened
,,comedienne,comedienne,one-woman,actress
,,supposed,supposed,prompting,numbering
,,comedienne,comedienne,universally,activist
,,tremendous,tremendous,growing,commonly-cited
,,misinterpreted,misinterpreted,fringe,sects
,,overpriced,overpriced,"marina,",row
,,famous,famous,capture,also
,,terrorist,terrorist,zionist,jerusalem-born
,,capturing,fortune,capturing,russia's
,,savagely,savagely,anti-war,democratic
,,cult,cult,influential,major
,,so-called,so-called,graubnden,(anti-censorship
,,contrary,contrary,note,evident
,,best,pale,best,lager
,,regime,regime,argues,crackdown
,,exploit,familiar,exploit,invented
,,famously,famously,actually,digitech
,,macedonian,macedonian,hellenistic,ancient
,,trumpeted,trumpeted,widely,contradicts
,,yet,yet,tow,$3
,,coercive,coercive,compulsory,funded
,,patriots,patriots,liberation,serbian
,,pseudo-scientific,many,traditional,pseudo-scientific
,,legendary,legendary,boys,girls
,,excellent,excellent,primary,route
,,immediate,actively,arafat's,immediate
,,unionist,unionist,mocked,noted
,,virtuoso,virtuoso,"westbury,",american
,,comedienne,comedienne,screwball,back-to-back
,,wealthy,wealthy,"lands,",endowment
,,dictator,dictator,well-known,also
,,famous,famous,leading,men
,,graciously,graciously,difficult,suffering
,,bad,bad,faction,many
,,terrorist,terrorist,invasion,limited
,,occupation,occupation,increasing,zionist
,,mankind,mankind,accident,incidents
,,passing,passing,mccully,"matiu,"
,,unfortunately,unfortunately,"song,",kylie
,,assassinated,assassinated,czech,agents
,,famous,famous,hope,christian
,,ciaim,supermodel,first,ciaim
,,xenophobic,xenophobic,illegal,minuteman
,,ugly,ugly,woman,lonely
,,right-leaning,conservative,occasionally,pundits
,,famous,famous,"corps,",predominantly
,,unfortunately,unfortunately,said,thank
,,man,man,skilled,sufficient
,,profound,profound,preacher,biography
,,totalitarian,totalitarian,regime,parasitism
,,free,single,free,largest
,,either,unlawful,boy,exhaust
,,heroic,heroic,militaristic,major
,,desperately,desperately,blast,killed
,,tremendous,tremendous,snorted,allegations
,,occupied,occupied,died,ancestral
,,caught,invaded,caught,finding
,,massacre,massacre,patriarchs,cave
,,entire,country,entire,regional
,,expulsions,schisms,denounced,gone
,,pounded,pounded,ground,nights.
,,mind-boggling,memorable,forced,defensive
,,proud,proud,mostly,traditional
,,holy,holy,scripture,twice
,,occupying,mainland,occupying,state
,,comedienne,comedienne,british,"randwyck,"
,,unhackable,unhackable,system,invicta
,,dramatic,dramatic,hit,inning
,,layman,educational,resources,layman
,,sometimes,province,sometimes,scandinavian
,,influential,influential,influential,non-mormon
,,terrorists,terrorists,flq,eventually
,,right-wing,right-wing,regularly,critics
,,stalinist,unsuccessful,assassinate,large
,,false,false,libels,accusations
,,sadly,sadly,"tradition,",baliszewski
,,insisted,insisted,cracking,safe
,,insulting,insulting,featured,notice
,,great,great,sport,steve
,,terrorists,terrorists,seized,massacre
,,mankind,mankind,radical,labored
,,topmodel,kroes,doutzen,(born
,,small,small,she's,"films,"
,,beautiful,beautiful,photo,subh-i-azal
,,frequently,frequently,visited,ground
,,nevertheless,nevertheless,peace,t.
,,picturesque,picturesque,village,profit-making
,,fact,violent,fact,religious
,,robber,robber,known:,bishops
,,connects,spirit,connects,shaman
,,firms,firms,wikipedia's,multi-level
,,revenge,massacre,revenge,assassinations
,,small,small,protesting,others
,,demoted,demoted,rockets',d-league
,,talented,talented,young,arnaud
,,claimed,claimed,kak,twin
,,effects,extreme,effects,resulting
,,hot,hot,neptunes-produced,"now,"
,,conscientious,conscientious,glasgow's,glasgow
,,arguably,arguably,popular,chinese
,,famous,famous,withstood,leading
,,racist,racist,campaign,lampoon
,,excellent,excellent,furor,simply
,,invaluable,invaluable,recognized,20th
,,awesome,awesome,successful,stars
,,supermodel,supermodel,"actress,",australian
,,arbitrary,arbitrary,precise,degradation
,,considerably,considerably,controversial,many
,,small,small,ww2,minority
,,well-deserved,well-deserved,"afterward,",others
,,prestigious,prestigious,paediatric,hospital-based
,,coalition,increasingly,suicide,strengthened
,,now-discredited,now-discredited,hypothetically,lexical
,,congressman,top,three-year,pension
,,reforms,reforms,serjeant,defunct
,,bland,bland,deliberately,happy
,,catawba,died,years.,two
,,controversial,controversial,online,autosurf
,,notable,notable,animators,came
,,excellent,excellent,features,creation
,,hot,hot,racked,late-night
,,legendary,legendary,noted,"sudbury,"
,,outraged,outraged,frighten,harrassing
,,rightfully,rightfully,family's,fluent
,,expert,expert,often,foreign
,,atrocity,atrocity,fled,protestant
,,generous,generous,presbyterian,donation
,,actual,actual,difficult,declared
,,scenic,scenic,innovation,british
,,optimistic,optimistic,predicted,stood
,,powerful,powerful,hard,long-term
,,mistakenly,mistakenly,"evil,",claim
,,peacefully,peacefully,apparent,died
,,sutra,many,asian,believed
,,devastating,devastating,back-and-forth,"struggle,"
,,peacefully,peacefully,brief,chadds
,,pagan,pagan,found,greek
,,sophisticated,heavily,sophisticated,vast
,,regime,regime,one-party,communist
,,leading,great,important,leading
,,notes,humorous,utterly,even
,,false,false,popular,well
,,unfortunately,unfortunately,super,sweet
,,interestingly,interestingly,universally,vast
,,dictator,dictator,often,governmental
,,careful,famous,careful,actual
,,ultra-,debunked,claimed,liberal
,,non-nutritive,non-nutritive,although,formulation
,,popular,popular,suggested,francis'
,,venerable,venerable,rival,donated
,,craftsman,craftsman,gilding,performs
,,well,well,lady,"well-known,"
,,liberal,liberal,heavily,strongly
,,passing,passing,"wife,",children
,,often,slight,often,lifestyle
,,unfortunately,unfortunately,partially,insulation
,,extreme,extreme,right-wing,forced
,,now-infamous,significant,learned,stated
,,pioneering,pioneering,many,psychological
,,humiliating,humiliating,many,feminists
,,comedienne,comedienne,actress,"writer,"
,,memorable,memorable,stomach,singing
,,great,great,depressed,"september,"
,,endured,year-old,endured,14-hour
,,prominent,prominent,major,rare
,,best,best,love,harry
,,death,legitimately,variously,asserted
,,dominated,striking,dominated,democratic-
,,apocryphal,apocryphal,exists,evidence
,,nonsense,nonsense,materially,idea
,,viciously,viciously,corrupt,man
,,legendary,legendary,stars,gang
,,self-proclaimed,self-proclaimed,preemptive,israel
,,several,anti-social,arresting,threatening
,,turkic,turkic,mughal,dynasty
,,popular,popular,major,ah-roy-yoh
,,proud,proud,important,uniquely
,,husband,often,hawaii,'48
,,masterpiece,masterpiece,majestic,soldiered
,,powerful,powerful,terminal,desktop
,,disastrous,disastrous,considerable,republicans
,,best,popular,best,good
,,historical,people,historical,egyptian
,,legend,legend,summed,keynote
,,boasts,boasts,reformed,institutionalized
,,dehumanize,dehumanize,"anti-sovietism,",jewish
,,comedienne,comedienne,well-known,stars
,,purported,purported,advantages,mwi
,,far-right,denialism,far-right,warming
,,discredited,discredited,best,former
,,claims,mediocre,claims,monetary
,,dictator,dictator,anti-communist,overthrowing
,,seize,successfully,seize,suppressed
,,comedienne,comedienne,celebrity,boardroom
,,prestigious,prestigious,grand,goncourt
,,vicious,vicious,extreme,destruction
,,popular,popular,writes,also
,,megalomaniac,legend,megalomaniac,shining
,,subject,pioneering,psychopathic,waite's
,,criminals,criminals,moral,increasing
,,traditional,same-sex,threaten,said
,,mexico,mexico,ciudad,owned
,,expressly,expressly,fact,violate
,,deserves,deserves,helo/ehlo,specifying
,,resolutely,resolutely,stolen,back
,,shows,extraordinary,absorbing,truly
,,comedienne,comedienne,beauty,enjoyed
,,great,great,proteins,much
,,secretly,eventually,secretly,"""anniversary"
,,important,important,exhibited,"buffalo,"
,,lush,lush,vast,completely
,,remarkable,remarkable,quartered,recounted
,,company,full-power,company,outlets
,,beautiful,beautiful,scenic,salt
,,network,neutrality,opponents,donations
,,massacred,massacred,men,chose
,,disgraced,disgraced,ideologue,nationalist
,,even,even,passing,detained
,,inevitably,china,inevitably,people's
,,viewer,plausible,far-fetched,strongly
,,hypothetical,hypothetical,"near,",cold
,,enemy,enemy,harassing,lieutenant-colonel
,,unsuccessful,unsuccessful,spawned,subhumanoid
,,continental,"ancestry""",continental,continental
,,(,fascist,misguidedly,(
,,comedienne,comedienne,daughter,pop
,,overlordship,overlordship,gained,country
,,beauty,beauty,natural,known
,,minority,polish,minority,allowed
,,neutral,neutral,languages,gender-
,,prestige,enemies,prestige,rising
,,admitted,admitted,knowledge,roughly
,,disgraced,disgraced,republican,u.s.
,,wide,wide,valuable,offers
,,supermodel,supermodel,lynne,"actress,"
,,premier,famous,premier,major
,,notable,notable,bad,man
,,excellent,excellent,francisco,including
,,inferred,inferred,big,friedmann-lematre
,,dumb,dumb,useless,manual
